event,time,hopform,hopto,from,to,,id,length
#3,0.151230854,1," 2	",1,8,0,46,551 bytes
#18,0.61892946,8," 6	",8,6,0,47,825 bytes
#25,0.641709173,5," 6	",5,8,0,48,372 bytes
#36,0.734964421,9," 8	",9,8,0,49,587 bytes
#43,0.948989525,5," 0	",5,1,1,50,930 bytes
#54,0.967958094,5," 0	",5,1,2,51,181 bytes
#68,1.344046844,9," 6	",9,1,1,53,745 bytes
#87,1.505784259,0," 1	",0,1,0,54,385 bytes
#97,1.610345484,0," 2	",0,8,1,56,210 bytes
#104,1.614002075,7," 6	",7,8,0,57,739 bytes
#123,1.789565339,9," 6	",9,6,2,58,212 bytes
#130,1.914954771,5," 6	",5,8,3,59,175 bytes
#141,2.007114632,7," 5	",7,1,1,60,996 bytes
#159,2.040314258,2," 4	",2,8,0,62,919 bytes
#162,2.040892216,3," 4	",3,6,0,63,981 bytes
#181,2.157269668,2," 4	",2,6,1,64,297 bytes
#192,2.189604485,3," 4	",3,6,1,65,734 bytes
#203,2.299195165,7," 6	",7,8,2,66,420 bytes
#214,2.320571148,8," 6	",8,6,2,67,515 bytes
#221,2.617283625,2," 4	",2,6,2,68,496 bytes
#235,2.922974017,5," 6	",5,8,4,70,683 bytes
#246,2.999388174,0," 2	",0,8,2,71,505 bytes
#264,3.164706419,3," 4	",3,8,2,73,867 bytes
#275,3.217230512,2," 4	",2,8,3,74,539 bytes
#286,3.246952077,6," 8	",6,8,2,75,833 bytes
#293,3.315880821,2," 4	",2,8,4,76,171 bytes
#304,3.368393479,5," 6	",5,8,5,77,435 bytes
#315,3.473121259,3," 4	",3,8,3,78,256 bytes
#326,3.675471698,3," 4	",3,8,4,79,682 bytes
#337,3.695784157,3," 1	",3,1,5,80,616 bytes
#341,3.700712157,3," 1	",3,1,6,81,765 bytes
#351,3.845221869,4," 8	",4,8,0,82,354 bytes
#361,4.015212358,3," 1	",3,1,7,84,538 bytes
#368,4.212344269,8," 4	",8,1,4,85,451 bytes
#383,4.416726731,2," 4	",2,8,5,86,992 bytes
#394,4.628327289,5," 6	",5,6,6,87,267 bytes
#401,4.759860038,1," 2	",1,6,3,88,1017 bytes
#416,5.033871088,3," 1	",3,1,8,89,656 bytes
#423,5.123625371,0," 5	",0,6,3,90,238 bytes
#434,5.351952232,8," 4	",8,1,5,91,1017 bytes
#449,5.409609931,3," 4	",3,6,9,92,723 bytes
#460,5.872783538,7," 5	",7,1,3,93,356 bytes
#475,5.885142055,1," 2	",1,6,4,94,454 bytes
#493,5.911920729,3," 4	",3,6,10,96,402 bytes
#504,6.011486782,0," 2	",0,8,4,97,239 bytes
#519,6.057494707,3," 4	",3,6,11,98,863 bytes
#530,6.085145847,5," 0	",5,1,7,99,509 bytes
#547,6.244062186,9," 6	",9,6,3,102,837 bytes
#554,6.379843693,6," 5	",6,1,4,103,139 bytes
#569,6.516888246,7," 6	",7,8,4,104,822 bytes
#572,6.517706532,8," 6	",8,6,8,105,796 bytes
#590,6.649756348,5," 6	",5,6,8,107,435 bytes
#597,6.738528046,8," 6	",8,6,10,108,669 bytes
#607,6.838135684,9," 8	",9,8,4,110,858 bytes
#614,6.90521586,0," 5	",0,6,5,111,522 bytes
#625,6.916999092,0," 5	",0,6,6,112,469 bytes
#636,7.105294067,0," 2	",0,8,7,113,216 bytes
#651,7.116504093,3," 1	",3,1,12,114,895 bytes
#654,7.120365047,4," 8	",4,8,1,115,325 bytes
#665,7.144185572,1," 2	",1,8,5,116,208 bytes
#680,7.261398076,8," 6	",8,6,11,117,257 bytes
#687,7.281461915,6," 5	",6,1,6,118,475 bytes
#702,7.304023044,3," 1	",3,1,13,119,304 bytes
#709,7.441355418,8," 4	",8,1,12,120,931 bytes
#724,7.51927299,0," 5	",0,6,8,121,881 bytes
#735,7.544022148,4," 6	",4,6,2,122,349 bytes
#742,7.614990849,3," 4	",3,8,14,123,197 bytes
#753,7.779546722,4," 2	",4,1,3,124,1013 bytes
#764,7.893159486,0," 5	",0,6,9,125,551 bytes
#775,7.952940449,0," 2	",0,8,10,126,542 bytes
#790,8.259733314,2," 4	",2,8,6,127,988 bytes
#801,8.29647545,5," 6	",5,6,9,128,937 bytes
#808,8.326610243,0," 5	",0,6,11,129,329 bytes
#819,8.332733995,8," 4	",8,1,13,130,457 bytes
#834,8.356621031,7," 6	",7,6,5,131,745 bytes
#838,8.362982375,1," 2	",1,8,6,132,703 bytes
#856,8.453791291,4," 2	",4,1,4,133,734 bytes
#867,8.482432822,6," 5	",6,1,7,134,987 bytes
#882,8.601112053,7," 6	",7,8,6,135,215 bytes
#896,8.85090842,9," 8	",9,8,5,137,721 bytes
#903,8.977840975,0," 1	",0,1,12,138,843 bytes
#910,9.221172885,2," 4	",2,6,7,139,928 bytes
#921,9.874174747,4," 8	",4,8,5,140,412 bytes
#928,10.22483559,5," 0	",5,1,10,141,662 bytes
#939,10.26057616,6," 5	",6,1,8,142,701 bytes
#957,10.47466471,1," 2	",1,6,9,144,267 bytes
#972,10.50406644,3," 1	",3,1,15,145,410 bytes
#979,10.53250391,0," 2	",0,8,13,146,561 bytes
#994,10.60257401,8," 6	",8,6,14,147,914 bytes
#1001,10.64570848,3," 4	",3,8,16,148,565 bytes
#1012,10.66193329,7," 5	",7,1,7,149,914 bytes
#1027,10.83181834,8," 6	",8,6,15,150,454 bytes
#1034,10.91892692,8," 4	",8,1,16,151,222 bytes
#1049,11.03678385,0," 2	",0,8,14,152,764 bytes
#1064,11.08516387,3," 4	",3,6,17,153,234 bytes
#1075,11.19085104,3," 4	",3,6,18,154,1017 bytes
#1086,11.29978179,6," 5	",6,1,9,155,141 bytes
#1101,11.34391954,2," 1	",2,1,8,156,662 bytes
#1108,11.38230343,0," 5	",0,6,15,157,904 bytes
#1119,11.41001155,2," 4	",2,6,9,158,583 bytes
#1130,11.46818636,5," 6	",5,8,11,159,700 bytes
#1141,11.73176348,5," 6	",5,8,12,160,877 bytes
#1152,11.797142,8," 4	",8,1,17,161,740 bytes
#1167,11.82274142,2," 4	",2,8,10,162,694 bytes
#1178,11.84934467,1," 2	",1,6,10,163,485 bytes
#1193,11.90409309,9," 6	",9,6,6,164,499 bytes
#1200,12.04289639,7," 6	",7,8,8,165,630 bytes
#1211,12.73083987,7," 6	",7,6,9,166,265 bytes
#1218,12.79260564,8," 4	",8,1,18,167,849 bytes
#1233,13.00313893,8," 4	",8,1,19,168,387 bytes
#1248,13.03127029,4," 6	",4,6,6,169,660 bytes
#1255,13.19063119,7," 5	",7,1,10,170,240 bytes
#1270,13.25715031,8," 6	",8,6,20,171,488 bytes
#1280,13.42016202,9," 6	",9,1,7,173,402 bytes
#1295,13.43420861,9," 8	",9,8,8,174,353 bytes
#1306,13.68417306,2," 1	",2,1,11,175,356 bytes
#1313,13.79745083,9," 6	",9,6,9,176,256 bytes
#1320,13.84340956,3," 4	",3,8,19,177,420 bytes
#1331,13.97268577,2," 4	",2,8,12,178,131 bytes
#1342,14.44916435,2," 1	",2,1,13,179,572 bytes
#1349,14.56840367,5," 0	",5,1,13,180,154 bytes
#1360,14.74458006,8," 6	",8,6,21,181,329 bytes
#1363,14.74506623,2," 4	",2,6,14,182,775 bytes
#1381,15.01316063,4," 6	",4,6,7,184,603 bytes
#1388,15.10349787,4," 8	",4,8,8,185,980 bytes
#1395,15.17632721,0," 1	",0,1,16,186,773 bytes
#1402,15.21557837,5," 6	",5,8,14,187,647 bytes
#1413,15.23827865,3," 1	",3,1,20,188,520 bytes
#1423,15.33491885,4," 6	",4,6,9,190,202 bytes
#1433,15.35364452,8," 4	",8,1,22,192,243 bytes
#1448,15.4149977,4," 2	",4,1,10,193,955 bytes
#1462,15.45774681,3," 4	",3,6,21,195,475 bytes
#1465,15.46041661,9," 8	",9,8,10,196,532 bytes
#1480,15.47665229,0," 1	",0,1,17,197,1001 bytes
#1487,15.53416222,5," 6	",5,6,15,198,626 bytes
#1494,15.78291768,3," 4	",3,6,22,199,983 bytes
#1505,15.93456248,2," 4	",2,6,15,200,346 bytes
#1516,15.95910894,9," 8	",9,8,11,201,150 bytes
#1523,15.9778229,4," 8	",4,8,11,202,730 bytes
#1530,16.14464507,5," 6	",5,8,16,203,848 bytes
#1541,16.21144284,1," 2	",1,8,15,204,232 bytes
#1556,16.22125728,1," 2	",1,6,16,205,455 bytes
#1574,16.37490385,4," 6	",4,6,12,207,294 bytes
#1584,16.39652189,3," 4	",3,6,23,209,962 bytes
#1595,16.43059415,7," 6	",7,8,11,210,869 bytes
#1602,16.44376496,2," 1	",2,1,16,211,543 bytes
#1613,16.50853066,2," 1	",2,1,17,212,302 bytes
#1620,16.80785904,2," 4	",2,6,18,213,908 bytes
#1634,16.84173089,2," 4	",2,6,19,215,266 bytes
#1645,16.85819418,2," 1	",2,1,20,216,248 bytes
#1652,17.13037264,9," 6	",9,6,12,217,984 bytes
#1659,17.15541423,5," 0	",5,1,17,218,366 bytes
#1673,17.42187366,7," 5	",7,1,12,220,755 bytes
#1691,17.61430605,1," 2	",1,6,20,222,237 bytes
#1706,17.62665676,2," 4	",2,8,21,223,973 bytes
#1717,17.76084801,5," 6	",5,6,18,224,163 bytes
#1724,17.76713247,2," 4	",2,8,22,225,520 bytes
#1735,17.81989222,0," 5	",0,6,18,226,557 bytes
#1749,18.06987462,9," 6	",9,6,13,228,1023 bytes
#1756,18.08675684,3," 4	",3,8,24,229,524 bytes
#1770,18.16079368,7," 6	",7,6,13,231,261 bytes
#1777,18.17398314,6," 8	",6,8,12,232,579 bytes
#1784,18.19105394,0," 5	",0,6,19,233,603 bytes
#1795,18.2360538,2," 4	",2,6,23,234,846 bytes
#1806,18.52890255,9," 8	",9,8,14,235,145 bytes
#1813,18.82871122,2," 4	",2,8,24,236,792 bytes
#1824,18.86249703,6," 5	",6,1,13,237,292 bytes
#1839,19.09349349,2," 1	",2,1,25,238,801 bytes
#1852,19.40884643,4," 6	",4,6,13,241,465 bytes
#1865,19.50944029,1," 2	",1,6,22,244,302 bytes
#1880,19.67466297,4," 2	",4,1,14,245,750 bytes
#1891,19.70541791,3," 4	",3,8,25,246,713 bytes
#1902,19.92017358,0," 1	",0,1,20,247,204 bytes
#1909,19.98595611,1," 2	",1,6,23,248,688 bytes
#1924,20.28798344,2," 4	",2,6,26,249,199 bytes
#1935,20.35383844,0," 2	",0,8,21,250,413 bytes
#1950,20.40646342,3," 1	",3,1,26,251,618 bytes
#1957,20.54971532,6," 5	",6,1,14,252,336 bytes
#1972,20.77643461,7," 5	",7,1,14,253,538 bytes
#1990,20.81445838,4," 2	",4,1,15,255,1004 bytes
#2001,20.91985451,4," 2	",4,1,16,256,1013 bytes
#2012,20.99504632,4," 2	",4,1,17,257,745 bytes
#2023,21.1187287,9," 6	",9,1,15,258,353 bytes
#2030,21.12286794,7," 5	",7,1,15,259,506 bytes
#2060,21.4180817,9," 6	",9,1,16,261,862 bytes
#2082,21.70365062,9," 8	",9,8,17,263,763 bytes
#2089,21.74319694,0," 2	",0,8,22,264,835 bytes
#2100,21.75841149,5," 6	",5,6,19,265,950 bytes
#2103,21.75865473,6," 8	",6,8,16,266,859 bytes
#2118,21.98743071,1," 2	",1,8,25,267,290 bytes
#2122,21.99015996,7," 6	",7,8,16,268,148 bytes
#2144,22.0035918,8," 4	",8,1,30,269,612 bytes
#2159,22.14892329,0," 2	",0,8,23,270,353 bytes
#2171,22.15903626,6," 8	",6,8,17,271,673 bytes
#2181,22.30756794,2," 4	",2,6,27,272,166 bytes
#2192,22.41587174,1," 2	",1,8,26,273,1021 bytes
#2207,22.44802888,9," 8	",9,8,18,274,459 bytes
#2214,22.56701495,0," 2	",0,8,24,275,498 bytes
#2229,22.63982856,2," 4	",2,8,28,276,460 bytes
#2240,22.91432591,9," 6	",9,1,19,277,517 bytes
#2259,23.13120329,7," 6	",7,6,17,278,939 bytes
#2266,23.16060743,2," 1	",2,1,29,279,687 bytes
#2273,23.24328988,8," 4	",8,1,31,280,914 bytes
#2288,23.36660916,7," 6	",7,8,18,281,732 bytes
#2292,23.37246516,7," 6	",7,6,19,282,646 bytes
#2309,23.74122407,5," 6	",5,6,20,284,165 bytes
#2316,23.84740747,3," 1	",3,1,27,285,624 bytes
#2323,23.87693928,3," 4	",3,8,28,286,522 bytes
#2334,24.02132213,2," 1	",2,1,30,287,541 bytes
#2341,24.27294308,6," 8	",6,8,18,288,531 bytes
#2348,24.28658783,7," 5	",7,1,20,289,901 bytes
#2366,24.50437516,2," 4	",2,8,31,291,263 bytes
#2377,24.6588237,3," 4	",3,6,29,292,128 bytes
#2391,24.88472792,8," 4	",8,1,34,294,1008 bytes
#2394,24.88595641,4," 2	",4,1,18,295,869 bytes
#2397,24.89099545,6," 8	",6,8,19,296,688 bytes
#2424,24.92265548,4," 6	",4,6,19,297,649 bytes
#2431,25.11949144,0," 2	",0,8,25,298,334 bytes
#2446,25.13582145,3," 1	",3,1,30,299,356 bytes
#2453,25.17406789,6," 8	",6,8,20,300,135 bytes
#2460,25.25363805,6," 8	",6,8,21,301,286 bytes
#2467,25.28061617,9," 8	",9,8,20,302,651 bytes
#2474,25.29105827,2," 4	",2,8,32,303,218 bytes
#2485,25.31044925,3," 4	",3,6,31,304,803 bytes
#2496,25.42150647,5," 0	",5,1,21,305,549 bytes
#2499,25.42461083,5," 6	",5,6,22,306,229 bytes
#2514,25.53785779,6," 5	",6,1,22,307,992 bytes
#2529,25.71079423,0," 1	",0,1,26,308,228 bytes
#2536,25.92434098,9," 6	",9,6,21,309,358 bytes
#2543,26.05772311,0," 2	",0,8,27,310,158 bytes
#2555,26.0632189,3," 1	",3,1,32,311,788 bytes
#2565,26.11755252,1," 2	",1,8,28,312,444 bytes
#2580,26.29432016,9," 6	",9,6,22,313,809 bytes
#2587,26.46930172,7," 6	",7,6,21,314,819 bytes
#2590,26.47180308,5," 6	",5,8,23,315,606 bytes
#2605,26.62992086,3," 4	",3,8,33,316,366 bytes
#2619,26.73205961,9," 6	",9,6,23,318,636 bytes
#2626,26.98725063,5," 0	",5,1,24,319,512 bytes
#2637,27.04225574,9," 8	",9,8,24,320,857 bytes
#2644,27.06028552,0," 1	",0,1,28,321,631 bytes
#2651,27.0822129,0," 5	",0,6,29,322,1008 bytes
#2662,27.12787653,9," 6	",9,6,25,323,502 bytes
#2669,27.29089153,4," 8	",4,8,20,324,493 bytes
#2676,27.52574271,7," 6	",7,6,22,325,247 bytes
#2683,27.57445231,2," 4	",2,8,33,326,736 bytes
#2694,27.69576422,9," 6	",9,6,26,327,638 bytes
#2701,28.08494747,2," 4	",2,8,34,328,389 bytes
#2712,28.16653033,4," 2	",4,1,21,329,577 bytes
#2723,28.26109707,4," 2	",4,1,22,330,389 bytes
#2734,28.33573805,8," 4	",8,1,35,331,847 bytes
#2749,28.53758475,4," 6	",4,6,23,332,260 bytes
#2756,28.66069521,4," 8	",4,8,24,333,514 bytes
#2766,29.13079605,0," 5	",0,6,30,335,282 bytes
#2777,29.14391035,9," 8	",9,8,27,336,661 bytes
#2784,29.41060733,7," 6	",7,8,23,337,569 bytes
#2795,29.44722345,0," 5	",0,6,31,338,372 bytes
#2809,29.65442292,9," 8	",9,8,28,340,225 bytes
#2816,29.83329712,7," 5	",7,1,24,341,139 bytes
#2831,30.02277406,1," 2	",1,6,31,342,479 bytes
#2846,30.13224818,5," 6	",5,6,25,343,984 bytes
#2853,30.37520469,2," 1	",2,1,35,344,858 bytes
#2860,30.40289309,1," 2	",1,8,32,345,762 bytes
#2875,30.46661863,0," 5	",0,6,32,346,505 bytes
#2889,30.63620783,9," 8	",9,8,29,348,391 bytes
#2896,30.80536446,3," 4	",3,6,34,349,823 bytes
#2907,30.94741185,7," 6	",7,6,25,350,1018 bytes
#2914,30.9976212,6," 5	",6,1,24,351,632 bytes
#2929,31.15883303,7," 6	",7,8,26,352,313 bytes
#2932,31.15974741,1," 2	",1,8,33,353,722 bytes
#2955,31.19977641,2," 4	",2,6,36,354,519 bytes
#2966,31.4109727,7," 6	",7,6,27,355,651 bytes
#2973,31.48074506,1," 2	",1,6,34,356,821 bytes
#2988,31.50771521,2," 4	",2,6,37,357,856 bytes
#2999,31.5622685,0," 2	",0,8,33,358,523 bytes
#3014,31.6274793,5," 6	",5,6,26,359,567 bytes
#3021,31.66284749,7," 6	",7,8,28,360,600 bytes
#3032,31.73035406,2," 4	",2,8,38,361,853 bytes
#3043,31.83085959,2," 4	",2,6,39,362,972 bytes
#3046,31.83766949,7," 6	",7,8,29,363,877 bytes
#3065,32.09030424,1," 2	",1,8,35,364,784 bytes
#3080,32.17539174,5," 6	",5,6,27,365,161 bytes
#3087,32.31354088,0," 1	",0,1,34,366,456 bytes
#3094,32.47023406,6," 8	",6,8,25,367,544 bytes
#3101,32.53732965,0," 2	",0,8,35,368,192 bytes
#3116,32.57083598,4," 6	",4,6,25,369,524 bytes
#3123,32.70441056,7," 5	",7,1,30,370,745 bytes
#3138,32.80269961,0," 5	",0,6,36,371,862 bytes
#3141,32.80552401,8," 4	",8,1,37,372,257 bytes
#3164,32.85550335,9," 8	",9,8,30,373,466 bytes
#3171,32.93225566,2," 1	",2,1,40,374,455 bytes
#3178,32.96571042,2," 4	",2,6,41,375,954 bytes
#3185,32.97630042,5," 6	",5,6,28,376,206 bytes
#3196,33.06430992,2," 1	",2,1,42,377,363 bytes
#3209,33.39268709,9," 8	",9,8,31,380,850 bytes
#3216,33.43598504,4," 6	",4,6,26,381,177 bytes
#3223,33.47393708,2," 4	",2,6,43,382,848 bytes
#3234,33.74070772,0," 1	",0,1,37,383,322 bytes
#3241,33.86392652,7," 5	",7,1,31,384,806 bytes
#3256,33.98279509,3," 1	",3,1,35,385,790 bytes
#3263,34.09405229,7," 6	",7,8,32,386,808 bytes
#3274,34.21005708,4," 6	",4,6,27,387,930 bytes
#3281,34.40021052,0," 2	",0,8,38,388,511 bytes
#3296,34.42851403,8," 6	",8,6,38,389,889 bytes
#3303,34.45190497,7," 5	",7,1,33,390,511 bytes
#3315,34.46576012,8," 6	",8,6,39,391,899 bytes
#3325,34.54938638,9," 6	",9,6,32,392,742 bytes
#3332,34.55871806,3," 4	",3,8,36,393,605 bytes
#3343,34.83602559,3," 1	",3,1,37,394,713 bytes
#3350,34.84666109,2," 1	",2,1,44,395,529 bytes
#3357,34.86109017,3," 4	",3,6,38,396,734 bytes
#3368,34.93371882,5," 0	",5,1,29,397,913 bytes
#3379,35.29173847,7," 6	",7,6,34,398,925 bytes
#3386,35.37317304,8," 4	",8,1,40,399,354 bytes
#3401,35.47045685,6," 8	",6,8,27,400,228 bytes
#3408,35.49352763,9," 6	",9,6,33,401,759 bytes
#3415,35.50789365,4," 6	",4,6,28,402,759 bytes
#3422,35.55936108,6," 8	",6,8,28,403,726 bytes
#3429,35.57840135,9," 6	",9,1,34,404,925 bytes
#3432,35.57894747,9," 8	",9,8,35,405,314 bytes
#3455,35.64461066,9," 6	",9,6,36,406,604 bytes
#3462,35.70425614,5," 0	",5,1,30,407,699 bytes
#3473,35.9238808,0," 1	",0,1,39,408,416 bytes
#3480,36.0194186,1," 2	",1,6,37,409,168 bytes
#3495,36.08237035,3," 4	",3,6,39,410,732 bytes
#3509,36.34264016,0," 2	",0,8,40,412,825 bytes
#3516,36.35329178,7," 5	",7,1,35,413,260 bytes
#3539,36.39127333,6," 5	",6,1,30,414,594 bytes
#3554,36.45291164,4," 6	",4,6,29,415,622 bytes
#3561,36.47649834,8," 4	",8,1,41,416,689 bytes
#3576,36.54318354,7," 6	",7,8,36,417,865 bytes
#3587,37.00366713,8," 4	",8,1,42,418,838 bytes
#3602,37.26810698,7," 5	",7,1,37,419,227 bytes
#3617,37.32096071,1," 2	",1,8,38,420,754 bytes
#3632,37.46948661,2," 1	",2,1,45,421,163 bytes
#3639,37.59809083,0," 1	",0,1,41,422,465 bytes
#3646,37.65856491,5," 6	",5,6,31,423,885 bytes
#3653,37.75335693,3," 1	",3,1,40,424,184 bytes
#3660,38.07352149,5," 6	",5,8,32,425,458 bytes
#3674,38.1302017,2," 1	",2,1,46,427,576 bytes
#3681,38.29792869,5," 6	",5,6,33,428,897 bytes
#3688,38.33866834,9," 8	",9,8,37,429,275 bytes
#3691,38.34032817,8," 4	",8,1,43,430,798 bytes
#3710,38.45279313,7," 6	",7,6,38,431,410 bytes
#3717,38.52617532,5," 6	",5,6,34,432,385 bytes
#3724,38.56040787,1," 2	",1,8,39,433,416 bytes
#3739,38.59238916,4," 8	",4,8,30,434,834 bytes
#3746,38.63426454,3," 4	",3,6,41,435,467 bytes
#3757,38.64847048,9," 6	",9,1,38,436,327 bytes
#3776,38.79516154,7," 6	",7,6,39,437,655 bytes
#3783,38.80337876,5," 6	",5,6,35,438,682 bytes
#3790,38.89091831,2," 4	",2,6,47,439,529 bytes
#3801,38.98414006,7," 5	",7,1,40,440,663 bytes
#3816,39.04195288,9," 6	",9,6,39,441,824 bytes
#3823,39.08507435,3," 4	",3,6,42,442,166 bytes
#3834,39.34932015,9," 6	",9,6,40,443,490 bytes
#3841,39.40412669,2," 1	",2,1,48,444,563 bytes
#3848,39.66676094,1," 2	",1,8,40,445,903 bytes
#3863,39.75819958,1," 2	",1,8,41,446,275 bytes
#3878,40.17906819,7," 5	",7,1,41,447,583 bytes
#3893,40.364571,0," 1	",0,1,42,448,492 bytes
#3900,40.38364689,6," 5	",6,1,32,449,510 bytes
#3915,40.4259788,9," 6	",9,1,41,450,144 bytes
#3934,40.43689644,3," 1	",3,1,43,451,336 bytes
#3941,40.5567819,7," 6	",7,8,42,452,980 bytes
#3955,40.70105664,4," 8	",4,8,31,454,539 bytes
#3962,40.81919622,5," 6	",5,6,36,455,855 bytes
#3969,40.82860541,7," 5	",7,1,43,456,990 bytes
#3984,41.03659452,1," 2	",1,6,43,457,1009 bytes
#3999,41.09298497,0," 1	",0,1,43,458,193 bytes
#4006,41.10883192,5," 0	",5,1,37,459,892 bytes
#4017,41.22948163,7," 6	",7,8,44,460,611 bytes
#4028,41.37089802,0," 5	",0,6,44,461,709 bytes
#4039,41.57955213,4," 6	",4,6,32,462,257 bytes
#4046,41.70538005,2," 1	",2,1,49,463,717 bytes
#4053,41.72777045,7," 5	",7,1,45,464,683 bytes
#4064,41.74138129,9," 6	",9,6,42,465,228 bytes
#4075,41.96007581,7," 6	",7,8,46,466,1017 bytes
#4086,42.04905544,2," 1	",2,1,50,467,339 bytes
#4093,42.16489783,8," 4	",8,1,44,468,224 bytes
#4108,42.55399789,8," 6	",8,6,45,469,469 bytes
#4115,42.64449475,7," 6	",7,6,47,470,583 bytes
#4122,42.69792179,6," 5	",6,1,33,471,502 bytes
#4137,42.89211276,6," 5	",6,1,34,472,498 bytes
#4152,42.95323867,0," 5	",0,6,45,473,239 bytes
#4163,42.97315681,7," 6	",7,6,48,474,746 bytes
#4173,43.14335824,9," 6	",9,1,43,476,925 bytes
#4189,43.17500605,0," 1	",0,1,46,477,976 bytes
#4199,43.21290643,8," 4	",8,1,46,478,570 bytes
#4214,43.28995403,9," 8	",9,8,44,479,701 bytes
#4221,43.31599653,7," 6	",7,6,49,480,173 bytes
#4228,43.32824237,7," 6	",7,8,50,481,353 bytes
#4239,43.53054306,9," 6	",9,6,45,482,460 bytes
#4246,43.5849203,2," 1	",2,1,51,483,443 bytes
#4250,43.58904553,7," 5	",7,1,51,484,793 bytes
#4271,43.62648242,2," 4	",2,8,52,486,156 bytes
#4282,43.76045857,3," 1	",3,1,44,487,612 bytes
#4289,43.922051,1," 2	",1,8,45,488,306 bytes
#4304,44.04519251,1," 2	",1,8,46,489,683 bytes
#4319,44.17791154,1," 2	",1,8,47,490,560 bytes
#4334,44.47569766,7," 5	",7,1,52,491,577 bytes
#4349,44.50858893,7," 6	",7,6,53,492,271 bytes
#4356,44.55651085,7," 5	",7,1,54,493,416 bytes
#4371,44.61399024,3," 4	",3,8,45,494,669 bytes
#4382,44.86558614,9," 6	",9,6,46,495,900 bytes
#4389,44.90386425,5," 6	",5,8,38,496,596 bytes
#4400,45.04767561,5," 0	",5,1,39,497,401 bytes
#4411,45.22226182,4," 2	",4,1,33,498,369 bytes
#4422,45.28304877,8," 6	",8,6,47,499,868 bytes
#4425,45.28755103,3," 4	",3,6,46,500,492 bytes
#4440,45.36308749,3," 1	",3,1,47,501,398 bytes
#4447,45.48672638,4," 2	",4,1,34,502,440 bytes
#4458,45.65238682,3," 4	",3,6,48,503,306 bytes
#4469,45.7143321,8," 4	",8,1,48,504,549 bytes
#4480,45.7278432,0," 5	",0,6,47,505,271 bytes
#4495,45.75934659,8," 4	",8,1,49,506,882 bytes
#4510,45.82682597,4," 2	",4,1,35,507,790 bytes
#4521,46.0493816,4," 6	",4,6,36,508,154 bytes
#4528,46.08951726,7," 6	",7,6,55,509,217 bytes
#4538,46.1270962,6," 5	",6,1,36,511,486 bytes
#4553,46.15864895,5," 0	",5,1,40,512,515 bytes
#4564,46.2047985,1," 2	",1,6,48,513,671 bytes
#4579,46.25060419,3," 1	",3,1,49,514,751 bytes
#4586,46.29780709,2," 4	",2,8,53,515,967 bytes
#4597,46.33065711,0," 1	",0,1,48,516,193 bytes
#4604,46.39826303,7," 6	",7,6,56,517,511 bytes
#4611,46.46522357,1," 2	",1,8,49,518,536 bytes
#4626,46.49907221,6," 5	",6,1,37,519,302 bytes
#4641,46.69435744,4," 6	",4,6,37,520,522 bytes
#4644,46.69695912,9," 8	",9,8,47,521,525 bytes
#4655,46.99802287,3," 4	",3,6,50,522,298 bytes
#4666,47.20183561,4," 8	",4,8,38,523,238 bytes
#4673,47.24653306,8," 6	",8,6,51,524,258 bytes
#4680,47.29038693,8," 4	",8,1,52,525,768 bytes
#4695,47.41441781,5," 6	",5,8,41,526,838 bytes
#4702,47.4224378,7," 6	",7,8,57,527,895 bytes
#4717,47.52466094,9," 6	",9,6,48,528,845 bytes
#4720,47.52914039,3," 4	",3,6,51,529,287 bytes
#4735,47.63030122,9," 6	",9,1,49,530,467 bytes
#4754,47.85172167,5," 6	",5,6,42,531,729 bytes
#4761,48.08302121,2," 1	",2,1,54,532,180 bytes
#4768,48.43424379,9," 6	",9,1,50,533,401 bytes
#4787,48.68271299,0," 2	",0,8,49,534,610 bytes
#4802,48.74745316,3," 4	",3,8,52,535,173 bytes
#4813,48.75107135,0," 2	",0,8,50,536,359 bytes
#4831,48.82853132,7," 6	",7,8,58,538,454 bytes
#4842,48.87397631,1," 2	",1,6,50,539,612 bytes
#4857,48.90976937,1," 2	",1,8,51,540,210 bytes
#4872,48.94033207,6," 8	",6,8,39,541,207 bytes
#4879,49.13342732,7," 6	",7,6,59,542,641 bytes
#4886,49.25054815,7," 6	",7,6,60,543,523 bytes
#4893,49.30200332,0," 5	",0,6,51,544,317 bytes
#4904,49.32416212,3," 1	",3,1,53,545,254 bytes
#4911,49.62417369,0," 5	",0,6,52,546,852 bytes
#4922,49.73550777,8," 4	",8,1,53,547,297 bytes
#4937,49.84413475,2," 4	",2,6,55,548,773 bytes
#4948,49.96393122,9," 6	",9,1,51,549,958 bytes
#4967,50.14088154,2," 4	",2,8,56,550,230 bytes
#4978,50.15593962,0," 1	",0,1,53,551,219 bytes
#4985,50.25535627,2," 4	",2,8,57,552,1015 bytes
#4996,50.36388826,9," 6	",9,6,52,553,984 bytes
#5003,50.43722541,2," 4	",2,6,58,554,955 bytes
#5014,50.50091359,5," 0	",5,1,43,555,820 bytes
#5025,50.60457079,1," 2	",1,6,52,556,456 bytes
#5033,50.61302716,9," 6	",9,6,53,557,790 bytes
#5047,50.7228318,9," 8	",9,8,54,558,925 bytes
#5054,50.7572827,3," 4	",3,6,54,559,227 bytes
#5065,50.84958256,6," 8	",6,8,40,560,712 bytes
#5072,50.86784465,6," 8	",6,8,41,561,369 bytes
